LSOA11CD,LSOA11NM,BUASD11CD,BUASD11NM,BUA11CD,BUA11NM,LAD11CD,LAD11NM,LAD11NMW,RGN11CD,RGN11NM,RGN11NMW,ObjectId
E01010472,Wolverhampton 015B,E35001313,Wolverhampton BUASD,E34005001,West Midlands BUA,E08000031,Wolverhampton,,E12000005,West Midlands,,10276
E01010622,Bradford 042C,E35001211,Bradford BUASD,E34004684,West Yorkshire BUA,E08000032,Bradford,,E12000003,Yorkshire and The Humber,,10280
E01010336,Walsall 034A,E35001438,Walsall BUASD,E34005001,West Midlands BUA,E08000030,Walsall,,E12000005,West Midlands,,10281
E01010628,Bradford 040A,E35001211,Bradford BUASD,E34004684,West Yorkshire BUA,E08000032,Bradford,,E12000003,Yorkshire and The Humber,,10306
E01010587,Bradford 022B,,,,,E08000032,Bradford,,E12000003,Yorkshire and The Humber,,10335
E01010863,Bradford 014D,E35001085,Keighley BUASD,E34004684,West Yorkshire BUA,E08000032,Bradford,,E12000003,Yorkshire and The Humber,,10456
E01010775,Bradford 024D,E35000731,Shipley BUASD,E34004684,West Yorkshire BUA,E08000032,Bradford,,E12000003,Yorkshire and The Humber,,10476
E01010805,Bradford 030D,E35001211,Bradford BUASD,E34004684,West Yorkshire BUA,E08000032,Bradford,,E12000003,Yorkshire and The Humber,,10509
E01011070,Kirklees 052A,E35001402,Huddersfield BUASD,E34004684,West Yorkshire BUA,E08000034,Kirklees,,E12000003,Yorkshire and The Humber,,10534
E01010994,Calderdale 008E,E35000317,Halifax BUASD,E34004684,West Yorkshire BUA,E08000033,Calderdale,,E12000003,Yorkshire and The Humber,,10690
E01011103,Kirklees 025B,E35001402,Huddersfield BUASD,E34004684,West Yorkshire BUA,E08000034,Kirklees,,E12000003,Yorkshire and The Humber,,10789
E01011106,Kirklees 029C,E35001402,Huddersfield BUASD,E34004684,West Yorkshire BUA,E08000034,Kirklees,,E12000003,Yorkshire and The Humber,,10792
E01011234,Kirklees 038D,E35001402,Huddersfield BUASD,E34004684,West Yorkshire BUA,E08000034,Kirklees,,E12000003,Yorkshire and The Humber,,10872
E01011237,Kirklees 039D,E35001402,Huddersfield BUASD,E34004684,West Yorkshire BUA,E08000034,Kirklees,,E12000003,Yorkshire and The Humber,,10881
E01011154,Kirklees 045D,E35001402,Huddersfield BUASD,E34004684,West Yorkshire BUA,E08000034,Kirklees,,E12000003,Yorkshire and The Humber,,11033
E01011756,Wakefield 002C,E35000669,Castleford BUASD,E34004675,Castleford BUA,E08000036,Wakefield,,E12000003,Yorkshire and The Humber,,11328
E01012235,Stockton-on-Tees 024A,,,E34002793,Kirklevington BUA,E06000004,Stockton-on-Tees,,E12000001,North East,,11625
E01012041,Middlesbrough 003F,E35001385,Middlesbrough BUASD,E34004802,Teesside BUA,E06000002,Middlesbrough,,E12000001,North East,,11683
E01012307,Darlington 009A,,,E34002141,Darlington BUA,E06000005,Darlington,,E12000001,North East,,11715
E01012254,Stockton-on-Tees 012E,E35001498,Stockton-on-Tees BUASD,E34004802,Teesside BUA,E06000004,Stockton-on-Tees,,E12000001,North East,,11861
E01012631,Blackburn with Darwen 006B,E35000757,Blackburn BUASD,E34004557,Blackburn BUA,E06000008,Blackburn with Darwen,,E12000002,North West,,12141
