Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Time,Road_Type,Speed_limit,Junction_Control,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201401KF60153,542120,185280,0.048308,51.548467,3,1,1,08:05,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01003587
201401KF60161,539790,181840,0.013361,51.518137,3,2,1,16:00,Single carriageway,30,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01003502
201401KG70046,548460,189140,0.141308,51.581519,3,3,2,09:55,Single carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01000030
201401LX50128,530830,179860,-0.116434,51.502488,3,2,1,13:35,Dual carriageway,30,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01003013
201401LX50193,532010,174320,-0.101512,51.452427,3,1,1,12:44,Single carriageway,30,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01003074
201401PL60101,540410,172780,0.018693,51.436569,3,1,7,10:02,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01003263
201401PL60124,537810,172750,-0.018701,51.436937,3,1,1,11:23,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01003221
201401PY20078,540410,168620,0.017046,51.399186,3,2,1,13:45,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01000670
201401PY20079,544240,167420,0.071579,51.387443,3,2,1,14:36,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01000811
201401PY20250,541680,169320,0.03557,51.405161,3,2,1,07:25,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01000647
201401QK50077,519440,183720,-0.279149,51.539699,3,2,1,13:30,Single carriageway,30,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01000600
201401QK50084,522140,183050,-0.240468,51.533101,3,2,1,12:26,Single carriageway,30,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01000535
201401QK50113,519900,184310,-0.272318,51.544905,3,2,1,18:47,Slip road,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,No,E01000605
201401RG40084,540900,174660,0.026486,51.453341,3,2,1,23:49,Single carriageway,30,0,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,Yes,E01001659
201401SX20095,522670,188950,-0.230774,51.586011,3,2,2,01:50,Dual carriageway,40,Automatic traffic signal,Darkness: Street lighting unknown,Fine without high winds,Wet/Damp,None,None,Yes,E01000237
201401SX20114,525220,189230,-0.193886,51.587967,3,2,1,14:45,Dual carriageway,40,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01000211
201401SX20129,519040,192420,-0.281967,51.617975,3,2,1,14:00,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01000190
201401SX20151,527310,189050,-0.163799,51.585881,3,2,1,07:25,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01000208
201401SX20285,520340,191500,-0.263514,51.60943,3,2,2,18:00,Single carriageway,30,0,Darkness: Street lighting unknown,Raining with high winds,Wet/Damp,None,None,Yes,E01000132
201401TD00006,522040,166150,-0.247736,51.381234,1,2,1,11:57,Single carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01002978
201401TD00008,530550,181530,-0.119848,51.51756,1,1,4,23:04,Single carriageway,30,0,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,Yes,E01000914
201401TW60065,520890,175440,-0.261086,51.464975,3,2,1,19:30,Single carriageway,30,0,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01003809
201401TW60066,517940,174960,-0.303694,51.461282,2,1,1,10:00,Dual carriageway,30,Automatic traffic signal,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01003876
201401TW60117,518510,175060,-0.295459,51.462062,3,2,1,21:15,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01003874
201401TX20108,510420,178280,-0.410859,51.492639,3,2,1,19:45,Dual carriageway,50,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01002633
201401TX20110,516310,176740,-0.326561,51.477618,3,2,1,08:42,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01002682
201401TX20111,510900,178130,-0.403995,51.491197,3,1,1,14:40,Dual carriageway,70,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01002637
201401TX20113,512850,177210,-0.376213,51.482542,3,1,1,08:45,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01002618
201401VK30049,519590,166080,-0.282948,51.381125,3,1,1,11:29,Dual carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01002919
201401VW40058,524120,166120,-0.217873,51.380513,3,1,1,14:13,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01003420
201401WW50108,525990,174520,-0.188033,51.455595,3,2,1,16:12,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01004512
201401WW50110,527600,171310,-0.166029,51.426386,3,1,1,16:58,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01004525
