Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Time,Road_Type,Speed_limit,Junction_Control,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201420G002284,392600,299310,-2.110681,52.591511,2,1,1,18:30,Dual carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Other,Wet/Damp,None,None,No,E01010472
201420G002534,388440,299200,-2.172086,52.590449,2,2,1,23:15,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01010547
201420J003644,393050,286430,-2.103765,52.475725,3,2,1,15:50,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01009864
201420K002994,399330,291920,-2.011317,52.525126,2,1,1,17:00,Single carriageway,30,0,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,No,E01032887
201420M002464,434660,282540,-1.491555,52.439706,2,1,1,11:41,Single carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01009564
201420M002764,433790,281620,-1.504446,52.431489,3,3,1,18:30,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01009566
201420S013114,406970,280590,-1.898941,52.423225,3,2,1,15:00,Single carriageway,30,0,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01008967
201420T038554,407780,283990,-1.886951,52.45378,2,1,2,11:00,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,No,E01009384
201420W012454,406520,290040,-1.905377,52.508187,3,1,1,18:23,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Other,Wet/Damp,None,None,Yes,E01009062
201420Z000884,402310,294890,-1.967374,52.551822,3,1,1,20:00,Dual carriageway,70,0,Darkness: Street lighting unknown,Raining without high winds,Wet/Damp,None,None,No,E01009969
201420Z000904,414050,290160,-1.794426,52.509125,3,2,1,10:25,Dual carriageway,70,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01009101
201420Z000914,400510,296280,-1.993919,52.564323,3,2,1,19:06,Dual carriageway,70,0,Darkness: Street lights present and lit,Fine with high winds,Wet/Damp,None,None,Yes,E01010336
201422C400587,389050,263060,-2.161886,52.265556,2,1,1,08:30,Single carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01032357
201422D400593,409100,277160,-1.867711,52.392357,2,1,1,19:17,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,Other object in carriageway,Yes,E01032146
201422D400680,397730,270400,-2.034748,52.331652,3,1,1,17:30,Dual carriageway,70,0,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,Yes,E01033059
201422E400565,349340,238390,-2.740049,52.041544,2,1,1,19:24,Single carriageway,30,0,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01013996
201422E400822,376500,240280,-2.344199,52.060358,3,2,1,18:35,Single carriageway,60,0,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,Yes,E01032218
201422F400683,330950,332970,-3.027748,52.889711,3,2,1,18:25,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,No,E01028910
201422G400676,369740,310390,-2.449147,52.69032,3,4,2,15:41,Single carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01014151
201423N025210,432264,297150,-1.525389,52.571193,3,2,1,06:53,Roundabout,50,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01031014
201423N025211,419597,291740,-1.712604,52.523159,3,2,1,08:45,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01031023
201423N065260,425920,285602,-1.619889,52.467716,3,3,3,15:24,Dual carriageway,70,0,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01031028
201423S030171,428475,240582,-1.586066,52.062849,3,2,1,16:35,Single carriageway,50,0,Darkeness: No street lighting,Fine with high winds,Wet/Damp,None,None,Yes,E01031193
201423S030172,425860,240253,-1.624234,52.060019,3,1,1,17:19,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine with high winds,Wet/Damp,None,None,Yes,E01031215
201423S030288,425030,243282,-1.636119,52.087289,3,2,2,11:45,Single carriageway,60,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,No,E01031245
201431B038514,463759,360944,-1.04827,53.141822,3,3,1,08:40,Single carriageway,60,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,No,E01028295
201431B041514,455598,377080,-1.167454,53.287766,2,3,2,06:11,Single carriageway,60,0,Darkness: Street lights present and lit,Other,Frost/Ice,None,None,Yes,E01028063
201431B044114,464488,361048,-1.037353,53.142669,3,2,1,16:51,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01028297
201431B082314,478140,352412,-0.835393,53.06323,3,1,1,15:31,Roundabout,60,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01033394
201431B208614,472463,370634,-0.915976,53.227799,3,2,1,17:26,Single carriageway,60,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,No,E01028037
201431C021114,454079,345411,-1.195575,53.003274,3,2,1,18:27,Single carriageway,30,0,Darkness: Street lights present and lit,Fine with high winds,Dry,None,None,Yes,E01013885
201431C026814,451462,342880,-1.234971,52.980781,3,2,1,07:26,Single carriageway,40,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01013864
201431C037714,455731,341148,-1.171693,52.964787,3,2,2,18:00,Single carriageway,30,0,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,No,E01013811
201431C037914,455874,340844,-1.169616,52.96204,2,1,1,18:00,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine with high winds,Wet/Damp,None,None,No,E01013814
201431C063714,457825,339782,-1.140763,52.952288,3,3,1,11:56,One way street,30,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01033407
201431D025414,457524,344883,-1.144337,52.99817,2,2,1,16:46,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01028167
201431D030614,452444,336055,-1.221449,52.919339,3,2,1,09:15,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01028096
201432B053914,537834,344229,0.051427,52.977669,1,2,2,09:50,Single carriageway,60,0,Daylight: Street light present,Fine without high winds,Wet/Damp,Road surface defective,Other object in carriageway,Yes,E01026008
201432B056114,532475,343151,-0.028778,52.969334,2,1,1,20:23,Single carriageway,40,0,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01026006
201432B056214,531384,339444,-0.046515,52.936298,3,3,2,18:27,Single carriageway,60,0,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01026018
201432B058814,521300,322012,-0.20296,52.782041,3,3,1,11:00,Single carriageway,50,Giveway or uncontrolled,Daylight: Street light present,Unknown,Dry,None,None,No,E01026259
201432B066414,543187,322973,0.12175,52.785317,3,1,1,12:20,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01026255
201432L059114,497358,378183,-0.540859,53.291661,3,3,5,11:01,Single carriageway,50,0,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01026400
201432L059714,490066,391479,-0.646442,53.412431,2,1,1,13:29,Single carriageway,60,0,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01026385
201432L059914,496383,371672,-0.557452,53.23333,3,2,1,08:48,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01026144
201432N056814,514314,309824,-0.310729,52.674044,3,2,1,06:35,Single carriageway,30,Authorised person,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,No,E01026335
201432N057014,506277,346816,-0.417505,53.008095,3,2,1,05:26,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,Yes,E01026229
201434NC03994,487079,289201,-0.718827,52.493746,2,1,1,19:20,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01026973
201434NK04074,487781,277402,-0.711587,52.387585,3,2,1,16:00,Single carriageway,30,0,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,No,E01027099
201434WS03754,477354,239772,-0.873359,52.050908,3,2,1,17:35,Roundabout,40,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,No,E01027280
201434WS03954,450428,232616,-1.267034,51.989674,3,2,2,23:08,Dual carriageway,70,0,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,Yes,E01027290
201437EA78193,655309,293896,1.758797,52.48316,3,2,1,14:30,Single carriageway,30,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01030247
201437EA78208,617128,245658,1.166447,52.066667,2,1,1,08:25,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01030011
201437EA78248,608059,260461,1.043388,52.203047,3,2,2,18:45,Single carriageway,30,Giveway or uncontrolled,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,Yes,E01030081
201437EA78349,618583,242765,1.18579,52.040125,3,2,1,14:30,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01029983
201437EA79321,619143,245171,1.195484,52.061502,3,1,1,15:30,Single carriageway,40,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01029964
2014404CA0159,505943,222162,-0.462011,51.887912,3,3,1,22:50,Single carriageway,40,0,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01015728
2014404DA0127,492340,224947,-0.658862,51.915363,3,2,1,13:00,Single carriageway,20,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,No,E01017555
2014404DA0139,499649,224309,-0.552814,51.90837,3,2,1,17:15,Dual carriageway,70,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01017578
2014404DA0150,515642,237694,-0.315919,52.025574,3,2,1,10:30,Single carriageway,60,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01017392
20144100A0091,538400,223260,0.009771,51.890672,3,2,1,12:30,Dual carriageway,70,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01023498
20144100A0126,548860,221010,0.16069,51.867764,2,1,1,20:12,Single carriageway,30,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,Yes,E01023446
20144100B0149,527320,207080,-0.15709,51.74791,3,2,1,10:30,Single carriageway,60,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01023925
20144100C0165,509610,199750,-0.415823,51.685771,3,2,1,09:05,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,No,E01023907
20144100C0183,509960,199900,-0.410714,51.68705,3,1,1,13:45,Dual carriageway,50,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01023891
20144100C0194,510990,200410,-0.395659,51.691432,2,2,1,18:47,Roundabout,50,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,Yes,E01023893
20144100F0097,519030,203520,-0.278333,51.717737,3,1,1,01:45,Roundabout,60,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,Yes,E01023583
20144100G0064,513050,226770,-0.357276,51.927931,1,2,2,14:36,Dual carriageway,70,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01023624
20144100G0113,518420,230760,-0.277841,51.962674,3,1,1,09:00,Single carriageway,30,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,No,E01023604
201442I050802,566836,201587,0.412218,51.6882,3,1,2,22:33,Single carriageway,40,0,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,Yes,E01021602
201442I051102,568508,189294,0.430471,51.577269,3,1,1,13:55,Dual carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01021279
201442I051602,588957,223325,0.743699,51.876425,3,1,2,19:56,Single carriageway,60,0,Darkness: Street lights present but unlit,Raining with high winds,Wet/Damp,None,None,Yes,E01021677
201442I051702,601105,227500,0.922375,51.909669,3,2,2,08:08,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01021670
201442I051802,600251,224779,0.908397,51.885543,2,1,1,18:40,Single carriageway,30,0,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01021686
201442I051902,601873,228880,0.934333,51.921783,3,1,2,18:38,Dual carriageway,70,Giveway or uncontrolled,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,Other object in carriageway,Yes,E01033720
201442I052102,587286,185868,0.699341,51.540577,3,2,1,15:05,Single carriageway,30,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,Other object in carriageway,Yes,E01015855
201442I052402,547584,207036,0.136226,51.742547,3,2,2,15:15,Dual carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,No,E01021768
201442I054902,542696,199400,0.062353,51.675199,3,2,1,18:10,Roundabout,40,Giveway or uncontrolled,Darkness: Street lighting unknown,Raining with high winds,Wet/Damp,None,None,No,E01021806
201442I056702,579026,186715,0.580791,51.550864,3,1,1,19:10,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine with high winds,Wet/Damp,None,None,Yes,E01021483
201442I057302,572890,189061,0.493533,51.57385,3,1,1,19:16,Dual carriageway,50,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01021306
201442I057702,563960,189451,0.364969,51.58002,3,2,1,08:33,Slip road,70,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01021446
201442I059202,593143,184972,0.783204,51.530558,3,2,1,17:10,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine with high winds,Wet/Damp,None,None,Yes,E01015918
201442I066502,584674,186556,0.662079,51.547617,3,1,1,11:06,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01015821
201442I087502,569412,206910,0.452034,51.735247,3,1,1,15:31,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,No,E01021632
201443N108024,491516,185020,-0.681328,51.556599,3,2,1,13:51,Single carriageway,60,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01017833
201443N116024,484257,192035,-0.784328,51.62079,3,2,1,07:00,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,No,E01017844
201443N188024,491882,189858,-0.674786,51.600029,2,1,1,18:28,Single carriageway,50,0,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,Other object in carriageway,Yes,E01017801
201443P115024,451079,206078,-1.261473,51.751029,3,1,1,12:10,Single carriageway,20,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,No,E01028521
201443P119024,450080,188796,-1.278417,51.595743,3,2,1,09:20,Dual carriageway,70,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01028727
201443P127024,450018,196718,-1.278182,51.666973,3,2,4,16:00,Single carriageway,30,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01028658
201443P128024,462820,192651,-1.093824,51.629126,2,2,3,22:09,Single carriageway,50,0,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,Other object in carriageway,Yes,E01028600
201443P141024,445013,210330,-1.34879,51.789777,3,2,1,11:29,Single carriageway,60,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01028788
201443P143024,451162,203618,-1.260632,51.728905,3,4,3,17:10,Dual carriageway,70,0,Daylight: Street light present,Fine with high winds,Wet/Damp,None,None,Yes,E01028733
201443P146024,452477,205864,-1.241255,51.748976,2,2,1,18:00,Single carriageway,20,0,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,No,E01028588
201443P162024,462988,197330,-1.090556,51.671173,3,2,3,14:45,Single carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01028610
201443P176024,450708,207122,-1.266695,51.760449,2,1,1,15:08,Single carriageway,20,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01033282
201443R080024,498238,178449,-0.586227,51.496404,3,2,1,18:18,Dual carriageway,70,0,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01016565
201443R081024,498688,180619,-0.57914,51.515832,3,1,1,08:37,Roundabout,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01016460
201443R083024,486669,168076,-0.755379,51.405045,2,1,1,19:53,Single carriageway,30,0,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01016233
201443W212024,471838,171395,-0.967889,51.436954,3,2,1,07:09,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01016377
201450CI2R002,252385,146846,-4.114345,51.201651,3,2,1,17:23,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01020117
201450CT2E001,246350,122115,-4.190136,50.977834,3,1,1,13:57,Single carriageway,60,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01020296
201450FP2C004,288727,60645,-3.568221,50.435009,3,2,1,17:52,One way street,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01015231
201450JG3H005,293136,72232,-3.509477,50.539997,3,1,1,08:38,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01020260
201450JS2H002,275456,59721,-3.754696,50.424035,1,1,1,13:47,Single carriageway,60,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01020143
201450JS2L001,269888,59227,-3.832868,50.418386,3,1,1,09:44,Dual carriageway,70,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01020176
201450KC2E001,272647,108054,-3.810844,50.857874,3,1,1,16:38,Single carriageway,50,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01020073
201450KH2B004,320672,106089,-3.128254,50.848799,3,1,1,21:09,Single carriageway,50,0,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,Yes,E01019938
201450KO2R001,294212,98574,-3.501832,50.777004,3,1,1,00:30,Single carriageway,30,0,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01019903
2014554C06283,408790,91570,-1.876857,50.723622,3,1,2,03:00,Slip road,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,Yes,E01015283
2014554C06309,406390,94080,-1.910815,50.746225,2,1,1,10:35,Roundabout,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01015383
2014554C06339,401770,92290,-1.976307,50.73016,3,2,1,13:15,Single carriageway,30,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01015446
2014554C06351,413210,93630,-1.814166,50.742064,3,2,1,11:50,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01015316
2014554C06755,403580,92730,-1.950657,50.734109,3,2,1,15:15,Single carriageway,30,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,No,E01015439
2014554D06291,413120,104520,-1.815055,50.839997,3,2,2,08:17,Single carriageway,40,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01020403
2014554D06350,397200,93600,-2.041069,50.741936,2,1,1,14:18,Dual carriageway,70,0,Daylight: Street light present,Raining with high winds,Flood (Over 3cm of water),None,None,Yes,E01020475
2014554D06596,368300,88600,-2.450219,50.696109,3,2,1,15:51,Single carriageway,60,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01020549
201460R022785,295724,347433,-3.555798,53.013995,3,2,3,13:30,Single carriageway,60,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,W01000190
201460R022851,253092,371561,-4.201886,53.22072,3,2,1,15:05,Single carriageway,30,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,W01000015
201460R022971,332132,367370,-3.017438,53.199045,3,2,3,18:31,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,W01000312
201460R023034,302512,380849,-3.464844,53.315557,3,1,1,20:50,Single carriageway,30,0,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,W01000234
201460R023053,298868,380236,-3.519327,53.309365,3,2,1,21:20,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,W01000150
