Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Year
201401YE80096,535080,198200,-0.048187,51.666298,1,3,2,1,14/02/2014,6,09:10,32,E09000010,6,0,Single carriageway,40,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01001549,2014
201401YR90090,532000,187590,-0.096691,51.571682,1,3,2,1,14/02/2014,6,12:18,4,E09000012,3,105,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01001813,2014
201401YR90100,530870,190120,-0.112045,51.594682,1,3,2,1,14/02/2014,6,18:45,31,E09000014,4,151,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Unknown,Wet/Damp,None,None,1,No,E01002029,2014
201401ZD30113,535370,165660,-0.056488,51.37381,1,3,2,1,14/02/2014,6,17:05,20,E09000008,3,232,Dual carriageway,30,,Giveway or uncontrolled,3,232,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01001062,2014
201401ZD30118,535630,164910,-0.053041,51.367008,1,3,2,1,14/02/2014,6,08:02,20,E09000008,5,0,Single carriageway,30,,Giveway or uncontrolled,5,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01001064,2014
201401ZT80044,526940,164590,-0.177919,51.36614,1,3,2,1,14/02/2014,6,08:25,21,E09000029,5,0,Single carriageway,30,,Giveway or uncontrolled,5,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,No,E01004103,2014
201401ZT80051,529700,163910,-0.138542,51.359405,1,3,2,1,14/02/2014,6,18:07,21,E09000029,4,271,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01004086,2014
2.01E+12,319190,469430,-3.237714,54.114375,3,3,1,1,14/02/2014,6,19:04,61,E10000006,6,0,Single carriageway,20,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01019156,2014
2.01E+12,300240,531270,-3.548284,54.666617,3,3,4,3,14/02/2014,6,16:17,60,E10000006,3,596,Single carriageway,40,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Other,Wet/Damp,None,None,2,No,E01019122,2014
2.01E+12,336520,556250,-2.991361,54.896953,3,3,1,1,14/02/2014,6,22:00,62,E10000006,3,689,Roundabout,60,,Giveway or uncontrolled,3,689,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Fine without high winds,Dry,None,None,2,Yes,E01019203,2014
2.01E+12,342280,554640,-2.901236,54.883186,3,3,2,1,14/02/2014,6,12:30,62,E10000006,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01019198,2014
2.01E+12,351440,528600,-2.754106,54.650168,3,3,1,1,14/02/2014,6,15:45,64,E10000006,1,6,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,No,E01019334,2014
2.01E+12,301920,515090,-3.516833,54.52159,3,3,2,2,14/02/2014,6,15:45,63,E10000006,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,No,E01019265,2014
2.01E+12,299610,527880,-3.556883,54.636038,3,3,1,1,14/02/2014,6,09:18,60,E10000006,6,0,Single carriageway,30,,Automatic traffic signal,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Unknown,Dry,None,None,1,No,E01019120,2014
201404CJ14028,344047,411337,-2.846905,53.595599,4,3,1,1,14/02/2014,6,08:25,84,E10000017,3,59,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,Yes,E01025487,2014
201404CJ14038,341312,408490,-2.887689,53.569713,4,3,2,1,14/02/2014,6,09:30,84,E10000017,3,570,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01025518,2014
201404DA14016,352447,429986,-2.722861,53.76404,4,3,2,1,14/02/2014,6,10:06,79,E10000017,3,5072,Dual carriageway,30,,Automatic traffic signal,3,583,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine with high winds,Dry,Roadworks,None,1,Yes,E01025232,2014
201404EA14063,369020,427340,-2.471195,53.74151,4,3,1,1,14/02/2014,6,15:15,70,E06000008,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01012631,2014
201404EL14020,373713,427347,-2.400043,53.741832,4,3,2,3,14/02/2014,6,17:30,75,E10000017,4,6231,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01025076,2014
201404EN14012,377330,445037,-2.346513,53.900999,4,2,1,1,14/02/2014,6,18:55,80,E10000017,6,0,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Fine without high winds,Wet/Damp,None,None,2,Yes,E01025321,2014
201404FA14020,382831,432580,-2.262092,53.789248,4,3,3,1,14/02/2014,6,18:15,72,E10000017,3,671,Roundabout,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01024907,2014
201405AA01662,328150,392053,-3.082635,53.420354,5,3,2,3,14/02/2014,6,14:05,95,E08000015,6,0,Dual carriageway,40,,Giveway or uncontrolled,3,551,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine with high winds,Dry,None,None,2,Yes,E01007210,2014
201405BB01604,333765,397532,-2.999313,53.470331,5,3,2,1,14/02/2014,6,22:10,93,E08000014,4,5422,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lighting unknown,Raining with high winds,Wet/Damp,None,None,1,No,E01006977,2014
201405CC01621,341579,399045,-2.881892,53.484856,5,3,1,1,14/02/2014,6,09:05,90,E08000011,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01006495,2014
201405DD01617,349608,393672,-2.760043,53.437396,5,2,1,1,14/02/2014,6,21:51,92,E08000013,6,0,One way street,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01006903,2014
201405DD01786,352583,391786,-2.714978,53.420721,5,3,3,1,14/02/2014,6,19:15,92,E08000013,3,569,Single carriageway,30,,Automatic traffic signal,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01006908,2014
201405DD01864,353847,395156,-2.696455,53.451123,5,3,1,1,14/02/2014,6,14:30,92,E08000013,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01006821,2014
201405EE01618,336892,392982,-2.951297,53.429823,5,3,2,1,14/02/2014,6,17:15,91,E08000012,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,Yes,E01006545,2014
201405EE01668,334168,390230,-2.991713,53.404756,5,3,1,1,14/02/2014,6,15:05,91,E08000012,3,5039,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,No,E01033752,2014
201405EE01737,339100,390716,-2.917631,53.409717,5,2,2,1,14/02/2014,6,20:30,91,E08000012,3,5047,Single carriageway,30,,Giveway or uncontrolled,4,5179,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01006716,2014
201405FF01678,341120,387385,-2.886625,53.380009,5,3,2,1,14/02/2014,6,18:04,91,E08000012,3,562,Dual carriageway,40,,Automatic traffic signal,6,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01006532,2014
201405FF03073,336790,389785,-2.95219,53.401078,5,3,2,1,14/02/2014,6,14:30,91,E08000012,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01006751,2014
201406A083183,387990,400188,-2.182523,53.498244,6,3,1,2,14/02/2014,6,02:48,102,E08000003,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01005261,2014
201406F083764,378145,398492,-2.330814,53.482681,6,3,1,1,14/02/2014,6,10:05,107,E08000006,3,576,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,No,E01005599,2014
201406F083778,373786,402626,-2.396846,53.519639,6,3,2,1,14/02/2014,6,21:00,107,E08000006,3,575,Single carriageway,30,,Giveway or uncontrolled,3,575,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,No,E01005712,2014
201406N083746,382095,402370,-2.271513,53.517688,6,3,2,1,14/02/2014,6,13:25,101,E08000002,3,56,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01005044,2014
201406Q083040,391586,405441,-2.128457,53.545531,6,3,1,1,14/02/2014,6,11:25,104,E08000004,3,6048,Single carriageway,30,,,-1,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine with high winds,Dry,None,None,1,Yes,E01005353,2014
201406X083031,379747,418274,-2.307962,53.660553,6,3,3,1,14/02/2014,6,16:07,101,E08000002,1,66,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,2,Yes,E01005015,2014
2.01E+12,385118,382576,-2.22498,53.339862,7,3,2,1,14/02/2014,6,07:17,129,E06000049,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,1,Yes,E01018612,2014
2.01E+12,366726,384140,-2.501365,53.35308,7,3,2,2,14/02/2014,6,08:41,129,E06000049,1,56,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,Yes,E01018598,2014
2.01E+12,369626,357484,-2.455249,53.113652,7,3,2,1,14/02/2014,6,11:30,129,E06000049,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01018473,2014
2.01E+12,393032,377346,-2.106004,53.293015,7,3,1,1,14/02/2014,6,15:45,129,E06000049,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01018577,2014
2.01E+12,427766,587175,-1.565547,55.178124,10,3,2,1,14/02/2014,6,08:55,139,E06000048,6,6513,Single carriageway,30,,Giveway or uncontrolled,6,6513,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01027528,2014
2.01E+12,434470,560928,-1.463448,54.941851,10,2,2,1,14/02/2014,6,12:15,149,E08000023,3,184,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present but unlit,Fine without high winds,Dry,None,None,1,Yes,E01008615,2014
2.01E+12,435820,558864,-1.442632,54.923209,10,3,1,3,14/02/2014,6,15:40,150,E08000024,5,508,Single carriageway,40,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,No,E01008839,2014
2.01E+12,434118,567694,-1.46814,55.002675,10,3,2,2,14/02/2014,6,09:30,148,E08000022,5,212,Single carriageway,30,,Giveway or uncontrolled,5,214,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01008541,2014
2.01E+12,424652,563923,-1.616447,54.969345,10,3,1,2,14/02/2014,6,23:00,147,E08000021,3,186,One way street,30,,Giveway or uncontrolled,6,1040,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01033545,2014
2.01E+12,426340,561872,-1.590267,54.950828,10,2,1,1,14/02/2014,6,20:18,146,E08000020,6,4136,Single carriageway,30,,Giveway or uncontrolled,6,4136,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,1,Yes,E01008204,2014
2.01E+12,425282,564647,-1.606542,54.975819,10,3,2,1,14/02/2014,6,18:15,147,E08000021,2,167,Slip road,30,,Giveway or uncontrolled,2,167,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01008397,2014
2.01E+12,425466,564424,-1.603688,54.973806,10,3,1,1,14/02/2014,6,17:25,147,E08000021,6,1099,Single carriageway,30,,Giveway or uncontrolled,6,1099,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01033553,2014
2.01E+12,436718,566965,-1.427588,54.99594,10,3,2,1,14/02/2014,6,15:40,149,E08000023,3,183,Roundabout,30,,Giveway or uncontrolled,3,183,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,Yes,E01008596,2014
2.01E+12,425823,557055,-1.59877,54.907568,10,3,2,2,14/02/2014,6,07:33,146,E08000020,5,312,Single carriageway,50,,Giveway or uncontrolled,6,4020,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,2,Yes,E01008226,2014
2.01E+12,433418,569792,-1.478838,55.021575,10,3,2,1,14/02/2014,6,17:23,148,E08000022,4,1316,Single carriageway,30,,Giveway or uncontrolled,6,2125,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01008490,2014
201411SJ03314,430559,515625,-1.529241,54.534993,11,3,2,1,14/02/2014,6,15:30,161,E06000005,5,46,Single carriageway,30,,,-1,0,None within 50 metres,Central refuge,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01012307,2014
201411SK03254,427613,525036,-1.573887,54.619736,11,3,2,1,14/02/2014,6,20:55,169,E06000047,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,No,E01020832,2014
2.01E+12,426112,512290,-1.598259,54.50527,12,3,1,1,14/02/2014,6,07:44,184,E10000023,5,7,Single carriageway,60,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Frost/Ice,None,None,2,Yes,E01027743,2014
2.01E+12,482120,508324,-0.734574,54.46367,12,2,2,2,14/02/2014,6,16:20,186,E10000023,3,171,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,Yes,E01027822,2014
2.01E+12,456936,454240,-1.133287,53.98109,12,3,2,3,14/02/2014,6,18:30,189,E06000014,3,1237,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lighting unknown,Raining without high winds,Wet/Damp,None,None,2,No,E01013422,2014
2.01E+12,430469,454165,-1.536863,53.982649,12,3,2,1,14/02/2014,6,22:00,182,E10000023,3,61,Roundabout,30,,Giveway or uncontrolled,6,571,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01027730,2014
2.01E+12,428496,434318,-1.568789,53.804381,13,2,1,1,14/02/2014,6,10:18,204,E08000035,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01011681,2014
2.01E+12,427978,435991,-1.576503,53.819446,13,3,2,1,14/02/2014,6,15:58,204,E08000035,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01011440,2014
2.01E+12,427559,438584,-1.582636,53.842774,13,3,2,1,14/02/2014,6,13:50,204,E08000035,3,6120,Dual carriageway,70,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,Yes,E01032876,2014
2.01E+12,444991,446244,-1.316594,53.910403,13,3,2,1,14/02/2014,6,09:50,204,E08000035,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,Yes,E01011697,2014
2.01E+12,428479,437167,-1.568785,53.829988,13,3,1,1,14/02/2014,6,17:50,204,E08000035,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01011689,2014
2.01E+137,403250,438631,-1.952091,53.843912,13,3,2,1,14/02/2014,6,03:05,200,E08000032,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Raining without high winds,Wet/Damp,None,None,1,Yes,E01010863,2014
20141312E0364,410793,415069,-1.838262,53.632032,13,3,1,1,14/02/2014,6,09:30,203,E08000034,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01011154,2014
20141312E0547,405130,416737,-1.923874,53.64711,13,3,1,1,14/02/2014,6,11:35,203,E08000034,1,62,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01011070,2014
20141312E0800,411923,436879,-1.82034,53.82804,13,3,2,1,14/02/2014,6,08:00,200,E08000032,4,6146,Roundabout,30,,Giveway or uncontrolled,4,6146,Control by school crossing patrol,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01010587,2014
20141312E0841,413110,434415,-1.802411,53.805865,13,3,2,2,14/02/2014,6,14:20,200,E08000032,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,Yes,E01010805,2014
20141312E1065,442837,425010,-1.35233,53.719744,13,3,1,1,14/02/2014,6,15:25,206,E08000036,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01011756,2014
20141312E1076,409647,424967,-1.855288,53.72102,13,3,1,1,14/02/2014,6,16:20,202,E08000033,6,0,Single carriageway,30,,Automatic traffic signal,6,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01010994,2014
20141312E1078,417044,420078,-1.74346,53.676889,13,3,3,1,14/02/2014,6,16:20,203,E08000034,3,62,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01011103,2014
20141312E1274,416370,436872,-1.752778,53.827857,13,3,3,1,14/02/2014,6,18:15,200,E08000032,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01010775,2014
20141312E1317,412348,415819,-1.814718,53.638739,13,3,2,1,14/02/2014,6,18:40,203,E08000034,3,62,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01011237,2014
20141312E1363,415878,418269,-1.761203,53.660666,13,3,2,1,14/02/2014,6,07:00,203,E08000034,3,62,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01011106,2014
20141312E1742,418518,433608,-1.72034,53.798449,13,3,2,4,14/02/2014,6,23:05,200,E08000032,4,6381,Single carriageway,30,,Automatic traffic signal,3,6177,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,Roadworks,None,1,Yes,E01010622,2014
20141312G0945,411954,416361,-1.820656,53.64362,13,2,1,1,14/02/2014,6,18:00,203,E08000034,6,0,One way street,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Unknown,Wet/Damp,None,None,1,No,E01011234,2014
20141312H1038,412876,433283,-1.806011,53.795697,13,3,2,1,14/02/2014,6,11:30,200,E08000032,4,6145,Single carriageway,30,,,-1,0,Control by other authorised person,Zebra crossing,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,No,E01010628,2014
201414A021214,453674,396280,-1.193057,53.460531,14,3,2,1,14/02/2014,6,07:15,211,E08000017,4,6094,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Frost/Ice,None,None,2,Yes,E01007545,2014
201414A021814,455744,404610,-1.160406,53.535183,14,3,2,1,14/02/2014,6,22:10,211,E08000017,3,638,Dual carriageway,40,,Automatic traffic signal,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01007582,2014
201414A021914,460599,403882,-1.087304,53.528104,14,3,3,2,14/02/2014,6,19:30,211,E08000017,3,18,Single carriageway,40,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01007566,2014
201414A023414,462489,398452,-1.059876,53.479082,14,3,1,1,14/02/2014,6,07:30,211,E08000017,4,6463,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01007596,2014
201414C017114,451748,392099,-1.222749,53.423145,14,3,2,1,14/02/2014,6,16:10,213,E08000018,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Frost/Ice,None,None,1,No,E01007761,2014
201414C020114,437974,396293,-1.429507,53.462011,14,3,2,1,14/02/2014,6,20:00,213,E08000018,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Unknown,Dry,None,None,1,Yes,E01007808,2014
201414K036414,436948,387435,-1.445996,53.382465,14,3,1,1,14/02/2014,6,22:39,215,E08000019,6,0,Single carriageway,20,,Giveway or uncontrolled,6,0,None within 50 metres,Central refuge,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01007885,2014
201414K037314,438859,389490,-1.417015,53.4008,14,3,2,1,14/02/2014,6,16:30,215,E08000019,3,6102,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01007904,2014
201414K039514,438013,383010,-1.430516,53.342617,14,3,2,1,14/02/2014,6,16:50,215,E08000019,3,6102,Dual carriageway,40,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01008007,2014
201414K039614,436652,382510,-1.451015,53.338218,14,3,2,1,14/02/2014,6,14:55,215,E08000019,5,799,Single carriageway,30,,Giveway or uncontrolled,5,798,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01008078,2014
201414K050514,440553,386583,-1.391911,53.374544,14,2,1,1,14/02/2014,6,10:47,215,E08000019,4,6200,Dual carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01007912,2014
2014160A00431,526083,408285,-0.098108,53.556042,16,3,2,2,14/02/2014,6,12:30,233,E06000012,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine with high winds,Dry,None,None,1,Yes,E01013204,2014
2014160A00521,527698,410605,-0.072795,53.576493,16,3,1,1,14/02/2014,6,18:15,233,E06000012,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01013136,2014
2014160C00751,474390,423107,-0.874713,53.699104,16,3,2,2,14/02/2014,6,07:24,231,E06000011,3,161,Single carriageway,30,,Giveway or uncontrolled,3,161,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Frost/Ice,None,None,1,Yes,E01013002,2014
2014160C00771,496606,426845,-0.537154,53.729059,16,3,2,1,14/02/2014,6,16:36,231,E06000011,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,Yes,E01013092,2014
2014160C00841,504808,439878,-0.408454,53.844575,16,3,2,1,14/02/2014,6,11:28,231,E06000011,3,1174,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01013037,2014
2014160C01161,503707,439174,-0.425419,53.83847,16,3,2,2,14/02/2014,6,14:42,231,E06000011,4,1230,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01013041,2014
