Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Year
201401HT20116,536940,181250,-0.027918,51.513532,1,2,1,1,14/02/2014,6,19:10,5,E09000030,3,1205,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01004252,2014
201401HT20125,538320,180560,-0.008314,51.506996,1,3,2,1,14/02/2014,6,20:25,5,E09000030,3,1206,Roundabout,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01032780,2014
201401HT20130,537110,181010,-0.025563,51.511334,1,3,1,1,14/02/2014,6,17:39,5,E09000030,3,13,Single carriageway,30,,Giveway or uncontrolled,3,13,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01004253,2014
201401HT20150,537100,181010,-0.025707,51.511337,1,3,2,1,14/02/2014,6,17:07,5,E09000030,3,13,Single carriageway,30,,Giveway or uncontrolled,3,13,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01004252,2014
201401HT20218,536790,181660,-0.029919,51.517253,1,3,1,1,14/02/2014,6,13:10,5,E09000030,3,1205,Single carriageway,30,,Automatic traffic signal,4,140,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01004273,2014
201401JC30071,536060,189060,-0.037574,51.583928,1,3,2,1,14/02/2014,6,14:46,13,E09000031,3,1006,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Raining without high winds,Wet/Damp,None,Pedestrian in carriageway (not injured),1,Yes,E01004391,2014
201401JC30072,539130,187160,0.005957,51.566105,1,3,2,1,14/02/2014,6,19:15,13,E09000031,3,12,Dual carriageway,50,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,1,Yes,E01004440,2014
201401JC30079,538010,187980,-0.00987,51.573749,1,3,1,1,14/02/2014,6,19:30,13,E09000031,3,112,Single carriageway,30,,Giveway or uncontrolled,5,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01033153,2014
201401JI40156,547400,188740,0.125853,51.578203,1,3,2,3,14/02/2014,6,20:15,14,E09000026,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01003664,2014
201401KD50061,556610,188990,0.258774,51.577967,1,3,3,1,14/02/2014,6,07:45,15,E09000016,3,127,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,Yes,E01002259,2014
201401KD50082,553090,187290,0.207275,51.563659,1,3,3,1,14/02/2014,6,09:35,15,E09000016,3,124,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002321,2014
201401KF60076,539240,184960,0.006672,51.546309,1,3,2,1,14/02/2014,6,23:58,17,E09000025,4,164,Single carriageway,30,,Giveway or uncontrolled,3,11,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01003549,2014
201401KF60100,540430,183150,0.023101,51.52975,1,3,1,1,14/02/2014,6,23:45,17,E09000025,3,112,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01003595,2014
201401KF60119,540330,182300,0.021322,51.522136,1,3,2,1,14/02/2014,6,08:12,17,E09000025,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01003499,2014
201401KF60140,538670,184010,-0.001917,51.537912,1,3,1,2,14/02/2014,6,10:51,17,E09000025,3,11,Dual carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01033583,2014
201401KF60153,542120,185280,0.048308,51.548467,1,3,1,1,14/02/2014,6,08:05,17,E09000025,3,117,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01003587,2014
201401KF60161,539790,181840,0.013361,51.518137,1,3,2,1,14/02/2014,6,16:00,17,E09000025,5,0,Single carriageway,30,,Automatic traffic signal,3,124,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01003502,2014
201401KG70046,548460,189140,0.141308,51.581519,1,3,3,2,14/02/2014,6,09:55,16,E09000002,3,1112,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01000030,2014
201401LX50128,530830,179860,-0.116434,51.502488,1,3,2,1,14/02/2014,6,13:35,9,E09000022,3,3200,Dual carriageway,30,,Automatic traffic signal,6,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01003013,2014
201401LX50193,532010,174320,-0.101512,51.452427,1,3,1,1,14/02/2014,6,12:44,9,E09000022,3,215,Single carriageway,30,,Automatic traffic signal,3,2214,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01003074,2014
201401PL60101,540410,172780,0.018693,51.436569,1,3,1,7,14/02/2014,6,10:02,7,E09000023,3,2212,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01003263,2014
201401PL60124,537810,172750,-0.018701,51.436937,1,3,1,1,14/02/2014,6,11:23,7,E09000023,3,21,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01003221,2014
201401PY20078,540410,168620,0.017046,51.399186,1,3,2,1,14/02/2014,6,13:45,19,E09000006,4,228,Single carriageway,30,,Giveway or uncontrolled,4,2212,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01000670,2014
201401PY20079,544240,167420,0.071579,51.387443,1,3,2,1,14/02/2014,6,14:36,19,E09000006,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,Yes,E01000811,2014
201401PY20250,541680,169320,0.03557,51.405161,1,3,2,1,14/02/2014,6,07:25,19,E09000006,3,222,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01000647,2014
201401QK50077,519440,183720,-0.279149,51.539699,1,3,2,1,14/02/2014,6,13:30,28,E09000005,3,406,Single carriageway,30,,Automatic traffic signal,5,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01000600,2014
201401QK50084,522140,183050,-0.240468,51.533101,1,3,2,1,14/02/2014,6,12:26,28,E09000005,5,0,Single carriageway,30,,Automatic traffic signal,3,404,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01000535,2014
